id,category,difficulty,text_en,text_pt,question_en,question_pt,option_a_en,option_a_pt,option_b_en,option_b_pt,option_c_en,option_c_pt,option_d_en,option_d_pt,option_e_en,option_e_pt,correct_answer,explanation_en,explanation_pt
17,Text Interpretation - Comic Strip,Hard,Sample English text for question 17 about Text Interpretation - Comic Strip. This text provides context for understanding the question.,Texto em português de exemplo para questão 17 sobre Text Interpretation - Comic Strip. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Text Interpretation - Comic Strip?,Qual é a ideia principal deste texto sobre Text Interpretation - Comic Strip?,First option for question 17,Primeira opção para questão 17,Second option for question 17,Segunda opção para questão 17,Correct answer for question 17,Resposta correta para questão 17,Fourth option for question 17,Quarta opção para questão 17,Fifth option for question 17,Quinta opção para questão 17,C,Explanation for question 17 in English.,Explicação para questão 17 em português.
18,Reading Comprehension - Science,Easy,Sample English text for question 18 about Reading Comprehension - Science. This text provides context for understanding the question.,Texto em português de exemplo para questão 18 sobre Reading Comprehension - Science. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Reading Comprehension - Science?,Qual é a ideia principal deste texto sobre Reading Comprehension - Science?,First option for question 18,Primeira opção para questão 18,Second option for question 18,Segunda opção para questão 18,Correct answer for question 18,Resposta correta para questão 18,Fourth option for question 18,Quarta opção para questão 18,Fifth option for question 18,Quinta opção para questão 18,C,Explanation for question 18 in English.,Explicação para questão 18 em português.
19,Vocabulary - Phrasal Verbs,Medium,Sample English text for question 19 about Vocabulary - Phrasal Verbs. This text provides context for understanding the question.,Texto em português de exemplo para questão 19 sobre Vocabulary - Phrasal Verbs. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Vocabulary - Phrasal Verbs?,Qual é a ideia principal deste texto sobre Vocabulary - Phrasal Verbs?,First option for question 19,Primeira opção para questão 19,Second option for question 19,Segunda opção para questão 19,Correct answer for question 19,Resposta correta para questão 19,Fourth option for question 19,Quarta opção para questão 19,Fifth option for question 19,Quinta opção para questão 19,C,Explanation for question 19 in English.,Explicação para questão 19 em português.
20,Cultural Understanding - History,Hard,Sample English text for question 20 about Cultural Understanding - History. This text provides context for understanding the question.,Texto em português de exemplo para questão 20 sobre Cultural Understanding - History. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Cultural Understanding - History?,Qual é a ideia principal deste texto sobre Cultural Understanding - History?,First option for question 20,Primeira opção para questão 20,Second option for question 20,Segunda opção para questão 20,Correct answer for question 20,Resposta correta para questão 20,Fourth option for question 20,Quarta opção para questão 20,Fifth option for question 20,Quinta opção para questão 20,C,Explanation for question 20 in English.,Explicação para questão 20 em português.
21,Grammar - Reported Speech,Easy,Sample English text for question 21 about Grammar - Reported Speech. This text provides context for understanding the question.,Texto em português de exemplo para questão 21 sobre Grammar - Reported Speech. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Grammar - Reported Speech?,Qual é a ideia principal deste texto sobre Grammar - Reported Speech?,First option for question 21,Primeira opção para questão 21,Second option for question 21,Segunda opção para questão 21,Correct answer for question 21,Resposta correta para questão 21,Fourth option for question 21,Quarta opção para questão 21,Fifth option for question 21,Quinta opção para questão 21,C,Explanation for question 21 in English.,Explicação para questão 21 em português.
22,Text Interpretation - Email,Medium,Sample English text for question 22 about Text Interpretation - Email. This text provides context for understanding the question.,Texto em português de exemplo para questão 22 sobre Text Interpretation - Email. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Text Interpretation - Email?,Qual é a ideia principal deste texto sobre Text Interpretation - Email?,First option for question 22,Primeira opção para questão 22,Second option for question 22,Segunda opção para questão 22,Correct answer for question 22,Resposta correta para questão 22,Fourth option for question 22,Quarta opção para questão 22,Fifth option for question 22,Quinta opção para questão 22,C,Explanation for question 22 in English.,Explicação para questão 22 em português.
23,Reading Comprehension - Travel,Hard,Sample English text for question 23 about Reading Comprehension - Travel. This text provides context for understanding the question.,Texto em português de exemplo para questão 23 sobre Reading Comprehension - Travel. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Reading Comprehension - Travel?,Qual é a ideia principal deste texto sobre Reading Comprehension - Travel?,First option for question 23,Primeira opção para questão 23,Second option for question 23,Segunda opção para questão 23,Correct answer for question 23,Resposta correta para questão 23,Fourth option for question 23,Quarta opção para questão 23,Fifth option for question 23,Quinta opção para questão 23,C,Explanation for question 23 in English.,Explicação para questão 23 em português.
24,Vocabulary - False Cognates,Easy,Sample English text for question 24 about Vocabulary - False Cognates. This text provides context for understanding the question.,Texto em português de exemplo para questão 24 sobre Vocabulary - False Cognates. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Vocabulary - False Cognates?,Qual é a ideia principal deste texto sobre Vocabulary - False Cognates?,First option for question 24,Primeira opção para questão 24,Second option for question 24,Segunda opção para questão 24,Correct answer for question 24,Resposta correta para questão 24,Fourth option for question 24,Quarta opção para questão 24,Fifth option for question 24,Quinta opção para questão 24,C,Explanation for question 24 in English.,Explicação para questão 24 em português.
25,Cultural Text - Literature,Medium,Sample English text for question 25 about Cultural Text - Literature. This text provides context for understanding the question.,Texto em português de exemplo para questão 25 sobre Cultural Text - Literature. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Cultural Text - Literature?,Qual é a ideia principal deste texto sobre Cultural Text - Literature?,First option for question 25,Primeira opção para questão 25,Second option for question 25,Segunda opção para questão 25,Correct answer for question 25,Resposta correta para questão 25,Fourth option for question 25,Quarta opção para questão 25,Fifth option for question 25,Quinta opção para questão 25,C,Explanation for question 25 in English.,Explicação para questão 25 em português.
26,Grammar - Passive Voice,Hard,Sample English text for question 26 about Grammar - Passive Voice. This text provides context for understanding the question.,Texto em português de exemplo para questão 26 sobre Grammar - Passive Voice. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Grammar - Passive Voice?,Qual é a ideia principal deste texto sobre Grammar - Passive Voice?,First option for question 26,Primeira opção para questão 26,Second option for question 26,Segunda opção para questão 26,Correct answer for question 26,Resposta correta para questão 26,Fourth option for question 26,Quarta opção para questão 26,Fifth option for question 26,Quinta opção para questão 26,C,Explanation for question 26 in English.,Explicação para questão 26 em português.
27,Text Interpretation - Comic Strip,Easy,Sample English text for question 27 about Text Interpretation - Comic Strip. This text provides context for understanding the question.,Texto em português de exemplo para questão 27 sobre Text Interpretation - Comic Strip. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Text Interpretation - Comic Strip?,Qual é a ideia principal deste texto sobre Text Interpretation - Comic Strip?,First option for question 27,Primeira opção para questão 27,Second option for question 27,Segunda opção para questão 27,Correct answer for question 27,Resposta correta para questão 27,Fourth option for question 27,Quarta opção para questão 27,Fifth option for question 27,Quinta opção para questão 27,C,Explanation for question 27 in English.,Explicação para questão 27 em português.
28,Reading Comprehension - Science,Medium,Sample English text for question 28 about Reading Comprehension - Science. This text provides context for understanding the question.,Texto em português de exemplo para questão 28 sobre Reading Comprehension - Science. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Reading Comprehension - Science?,Qual é a ideia principal deste texto sobre Reading Comprehension - Science?,First option for question 28,Primeira opção para questão 28,Second option for question 28,Segunda opção para questão 28,Correct answer for question 28,Resposta correta para questão 28,Fourth option for question 28,Quarta opção para questão 28,Fifth option for question 28,Quinta opção para questão 28,C,Explanation for question 28 in English.,Explicação para questão 28 em português.
29,Vocabulary - Phrasal Verbs,Hard,Sample English text for question 29 about Vocabulary - Phrasal Verbs. This text provides context for understanding the question.,Texto em português de exemplo para questão 29 sobre Vocabulary - Phrasal Verbs. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Vocabulary - Phrasal Verbs?,Qual é a ideia principal deste texto sobre Vocabulary - Phrasal Verbs?,First option for question 29,Primeira opção para questão 29,Second option for question 29,Segunda opção para questão 29,Correct answer for question 29,Resposta correta para questão 29,Fourth option for question 29,Quarta opção para questão 29,Fifth option for question 29,Quinta opção para questão 29,C,Explanation for question 29 in English.,Explicação para questão 29 em português.
30,Cultural Understanding - History,Easy,Sample English text for question 30 about Cultural Understanding - History. This text provides context for understanding the question.,Texto em português de exemplo para questão 30 sobre Cultural Understanding - History. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Cultural Understanding - History?,Qual é a ideia principal deste texto sobre Cultural Understanding - History?,First option for question 30,Primeira opção para questão 30,Second option for question 30,Segunda opção para questão 30,Correct answer for question 30,Resposta correta para questão 30,Fourth option for question 30,Quarta opção para questão 30,Fifth option for question 30,Quinta opção para questão 30,C,Explanation for question 30 in English.,Explicação para questão 30 em português.
31,Grammar - Reported Speech,Medium,Sample English text for question 31 about Grammar - Reported Speech. This text provides context for understanding the question.,Texto em português de exemplo para questão 31 sobre Grammar - Reported Speech. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Grammar - Reported Speech?,Qual é a ideia principal deste texto sobre Grammar - Reported Speech?,First option for question 31,Primeira opção para questão 31,Second option for question 31,Segunda opção para questão 31,Correct answer for question 31,Resposta correta para questão 31,Fourth option for question 31,Quarta opção para questão 31,Fifth option for question 31,Quinta opção para questão 31,C,Explanation for question 31 in English.,Explicação para questão 31 em português.
32,Text Interpretation - Email,Hard,Sample English text for question 32 about Text Interpretation - Email. This text provides context for understanding the question.,Texto em português de exemplo para questão 32 sobre Text Interpretation - Email. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Text Interpretation - Email?,Qual é a ideia principal deste texto sobre Text Interpretation - Email?,First option for question 32,Primeira opção para questão 32,Second option for question 32,Segunda opção para questão 32,Correct answer for question 32,Resposta correta para questão 32,Fourth option for question 32,Quarta opção para questão 32,Fifth option for question 32,Quinta opção para questão 32,C,Explanation for question 32 in English.,Explicação para questão 32 em português.
33,Reading Comprehension - Travel,Easy,Sample English text for question 33 about Reading Comprehension - Travel. This text provides context for understanding the question.,Texto em português de exemplo para questão 33 sobre Reading Comprehension - Travel. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Reading Comprehension - Travel?,Qual é a ideia principal deste texto sobre Reading Comprehension - Travel?,First option for question 33,Primeira opção para questão 33,Second option for question 33,Segunda opção para questão 33,Correct answer for question 33,Resposta correta para questão 33,Fourth option for question 33,Quarta opção para questão 33,Fifth option for question 33,Quinta opção para questão 33,C,Explanation for question 33 in English.,Explicação para questão 33 em português.
34,Vocabulary - False Cognates,Medium,Sample English text for question 34 about Vocabulary - False Cognates. This text provides context for understanding the question.,Texto em português de exemplo para questão 34 sobre Vocabulary - False Cognates. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Vocabulary - False Cognates?,Qual é a ideia principal deste texto sobre Vocabulary - False Cognates?,First option for question 34,Primeira opção para questão 34,Second option for question 34,Segunda opção para questão 34,Correct answer for question 34,Resposta correta para questão 34,Fourth option for question 34,Quarta opção para questão 34,Fifth option for question 34,Quinta opção para questão 34,C,Explanation for question 34 in English.,Explicação para questão 34 em português.
35,Cultural Text - Literature,Hard,Sample English text for question 35 about Cultural Text - Literature. This text provides context for understanding the question.,Texto em português de exemplo para questão 35 sobre Cultural Text - Literature. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Cultural Text - Literature?,Qual é a ideia principal deste texto sobre Cultural Text - Literature?,First option for question 35,Primeira opção para questão 35,Second option for question 35,Segunda opção para questão 35,Correct answer for question 35,Resposta correta para questão 35,Fourth option for question 35,Quarta opção para questão 35,Fifth option for question 35,Quinta opção para questão 35,C,Explanation for question 35 in English.,Explicação para questão 35 em português.
36,Grammar - Passive Voice,Easy,Sample English text for question 36 about Grammar - Passive Voice. This text provides context for understanding the question.,Texto em português de exemplo para questão 36 sobre Grammar - Passive Voice. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Grammar - Passive Voice?,Qual é a ideia principal deste texto sobre Grammar - Passive Voice?,First option for question 36,Primeira opção para questão 36,Second option for question 36,Segunda opção para questão 36,Correct answer for question 36,Resposta correta para questão 36,Fourth option for question 36,Quarta opção para questão 36,Fifth option for question 36,Quinta opção para questão 36,C,Explanation for question 36 in English.,Explicação para questão 36 em português.
37,Text Interpretation - Comic Strip,Medium,Sample English text for question 37 about Text Interpretation - Comic Strip. This text provides context for understanding the question.,Texto em português de exemplo para questão 37 sobre Text Interpretation - Comic Strip. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Text Interpretation - Comic Strip?,Qual é a ideia principal deste texto sobre Text Interpretation - Comic Strip?,First option for question 37,Primeira opção para questão 37,Second option for question 37,Segunda opção para questão 37,Correct answer for question 37,Resposta correta para questão 37,Fourth option for question 37,Quarta opção para questão 37,Fifth option for question 37,Quinta opção para questão 37,C,Explanation for question 37 in English.,Explicação para questão 37 em português.
38,Reading Comprehension - Science,Hard,Sample English text for question 38 about Reading Comprehension - Science. This text provides context for understanding the question.,Texto em português de exemplo para questão 38 sobre Reading Comprehension - Science. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Reading Comprehension - Science?,Qual é a ideia principal deste texto sobre Reading Comprehension - Science?,First option for question 38,Primeira opção para questão 38,Second option for question 38,Segunda opção para questão 38,Correct answer for question 38,Resposta correta para questão 38,Fourth option for question 38,Quarta opção para questão 38,Fifth option for question 38,Quinta opção para questão 38,C,Explanation for question 38 in English.,Explicação para questão 38 em português.
39,Vocabulary - Phrasal Verbs,Easy,Sample English text for question 39 about Vocabulary - Phrasal Verbs. This text provides context for understanding the question.,Texto em português de exemplo para questão 39 sobre Vocabulary - Phrasal Verbs. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Vocabulary - Phrasal Verbs?,Qual é a ideia principal deste texto sobre Vocabulary - Phrasal Verbs?,First option for question 39,Primeira opção para questão 39,Second option for question 39,Segunda opção para questão 39,Correct answer for question 39,Resposta correta para questão 39,Fourth option for question 39,Quarta opção para questão 39,Fifth option for question 39,Quinta opção para questão 39,C,Explanation for question 39 in English.,Explicação para questão 39 em português.
40,Cultural Understanding - History,Medium,Sample English text for question 40 about Cultural Understanding - History. This text provides context for understanding the question.,Texto em português de exemplo para questão 40 sobre Cultural Understanding - History. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Cultural Understanding - History?,Qual é a ideia principal deste texto sobre Cultural Understanding - History?,First option for question 40,Primeira opção para questão 40,Second option for question 40,Segunda opção para questão 40,Correct answer for question 40,Resposta correta para questão 40,Fourth option for question 40,Quarta opção para questão 40,Fifth option for question 40,Quinta opção para questão 40,C,Explanation for question 40 in English.,Explicação para questão 40 em português.
41,Grammar - Reported Speech,Hard,Sample English text for question 41 about Grammar - Reported Speech. This text provides context for understanding the question.,Texto em português de exemplo para questão 41 sobre Grammar - Reported Speech. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Grammar - Reported Speech?,Qual é a ideia principal deste texto sobre Grammar - Reported Speech?,First option for question 41,Primeira opção para questão 41,Second option for question 41,Segunda opção para questão 41,Correct answer for question 41,Resposta correta para questão 41,Fourth option for question 41,Quarta opção para questão 41,Fifth option for question 41,Quinta opção para questão 41,C,Explanation for question 41 in English.,Explicação para questão 41 em português.
42,Text Interpretation - Email,Easy,Sample English text for question 42 about Text Interpretation - Email. This text provides context for understanding the question.,Texto em português de exemplo para questão 42 sobre Text Interpretation - Email. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Text Interpretation - Email?,Qual é a ideia principal deste texto sobre Text Interpretation - Email?,First option for question 42,Primeira opção para questão 42,Second option for question 42,Segunda opção para questão 42,Correct answer for question 42,Resposta correta para questão 42,Fourth option for question 42,Quarta opção para questão 42,Fifth option for question 42,Quinta opção para questão 42,C,Explanation for question 42 in English.,Explicação para questão 42 em português.
43,Reading Comprehension - Travel,Medium,Sample English text for question 43 about Reading Comprehension - Travel. This text provides context for understanding the question.,Texto em português de exemplo para questão 43 sobre Reading Comprehension - Travel. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Reading Comprehension - Travel?,Qual é a ideia principal deste texto sobre Reading Comprehension - Travel?,First option for question 43,Primeira opção para questão 43,Second option for question 43,Segunda opção para questão 43,Correct answer for question 43,Resposta correta para questão 43,Fourth option for question 43,Quarta opção para questão 43,Fifth option for question 43,Quinta opção para questão 43,C,Explanation for question 43 in English.,Explicação para questão 43 em português.
44,Vocabulary - False Cognates,Hard,Sample English text for question 44 about Vocabulary - False Cognates. This text provides context for understanding the question.,Texto em português de exemplo para questão 44 sobre Vocabulary - False Cognates. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Vocabulary - False Cognates?,Qual é a ideia principal deste texto sobre Vocabulary - False Cognates?,First option for question 44,Primeira opção para questão 44,Second option for question 44,Segunda opção para questão 44,Correct answer for question 44,Resposta correta para questão 44,Fourth option for question 44,Quarta opção para questão 44,Fifth option for question 44,Quinta opção para questão 44,C,Explanation for question 44 in English.,Explicação para questão 44 em português.
